E_x	E_y	E_z
1.734843	1.868864	1.140547
2.022726	1.954104	1.221010
1.983864	1.675682	1.307621
2.041975	1.703927	1.090448
2.085743	1.637463	1.026501
2.062939	1.592657	1.005756
2.083138	1.551550	1.004190
2.281500	1.295037	1.081883
2.293576	1.290685	0.951025
2.202874	1.295186	0.895190
2.177123	1.489143	1.000690
2.384419	1.371407	0.823102
2.277185	1.316293	0.793760
2.396196	1.226774	0.835408
2.420860	1.246368	0.815096
2.477825	1.103387	0.867649
2.457121	1.135954	0.825917
2.338907	1.206560	0.768393
2.411895	1.197496	0.711115
2.362008	0.987184	0.792022
2.386270	1.224259	0.574078
2.622254	1.100848	0.707706
2.464875	1.111013	0.698022
2.597180	1.089402	0.699207
2.493778	1.080022	0.699366
2.397304	0.990324	0.721675
2.540784	1.088442	0.658308
2.554314	1.076178	0.590929
2.541083	1.061257	0.673710
2.394730	1.233282	0.673761
2.535552	1.254655	0.759909
2.584275	1.071043	0.537182
2.451136	1.242406	0.671603
2.431362	1.288856	0.577233
2.425768	1.206668	0.567226
2.354195	1.279066	0.719537
2.366472	1.592382	0.683006
2.431883	1.375710	0.705449
2.353508	1.496625	0.853248
2.366539	1.623121	0.618184
2.346677	1.721052	0.634905
2.459386	1.694298	0.652029
2.343732	1.768577	0.754367
2.150190	1.696744	0.703861
2.232951	1.854476	0.751565
2.107999	1.893860	0.800897
2.218912	2.004365	0.835499
2.179432	1.976314	0.667149
2.144697	2.055498	0.831695
1.983748	2.017026	0.910677
2.043247	2.207007	0.854857
2.014968	2.283427	0.835665
1.986416	2.234688	0.863923
1.922575	2.341237	0.883162
2.006718	2.311393	0.927936
1.846682	2.539400	0.979811
1.924661	2.370112	1.008356
1.882220	2.536414	1.091544
1.745669	2.682522	1.207308
1.727089	2.587664	1.167013
1.843595	2.623617	1.049379
1.675926	2.601084	1.034553
1.594901	2.680593	1.122992
1.662258	2.887752	1.072354
1.694427	2.785597	1.164564
1.648652	2.744395	1.217320
1.589582	2.889149	1.229933
1.742005	2.824570	1.187189
1.493662	2.847411	1.197063
1.613965	3.008702	1.218929
1.448666	2.946980	1.236132
1.546836	2.932631	1.178564
1.605718	3.054197	1.259805
1.452921	2.939338	1.343137
