E_x	E_y	E_z
2.534082	1.253206	0.577616
2.446834	1.111822	0.575065
2.357584	1.128439	0.576649
2.612325	1.273475	0.676926
2.540180	1.054140	0.783918
2.565002	1.140534	0.587604
2.575610	1.131057	0.544903
2.519909	1.141856	0.545701
2.507609	1.154757	0.565881
2.673997	0.950448	0.665431
2.654758	0.996296	0.556446
2.533525	1.048801	0.522407
2.478149	1.288381	0.649532
2.656846	1.213716	0.493306
2.522156	1.198957	0.484972
2.614962	1.146926	0.547182
2.614780	1.201000	0.546901
2.648356	1.089363	0.618865
2.605815	1.150021	0.595843
2.467402	1.245367	0.556246
2.521913	1.257602	0.516035
2.455342	1.065072	0.613076
2.464782	1.316354	0.410262
2.687864	1.203528	0.557952
2.519553	1.220627	0.561198
2.642941	1.202280	0.574127
2.532671	1.192496	0.584789
2.431405	1.098738	0.616317
2.572187	1.189171	0.560840
2.585123	1.165636	0.499987
2.573403	1.135920	0.587898
2.430659	1.289696	0.591662
2.577170	1.289453	0.680082
2.633640	1.080959	0.458176
2.510272	1.224286	0.591959
2.502253	1.239672	0.495489
2.510347	1.123531	0.481926
2.454340	1.159236	0.629235
2.483996	1.433282	0.586272
2.568525	1.174933	0.600875
2.510929	1.251947	0.739455
2.546315	1.332509	0.493825
2.550292	1.382670	0.498674
2.688224	1.306518	0.502662
2.599073	1.329984	0.590651
2.433206	1.206142	0.524638
2.544699	1.310893	0.555735
2.449417	1.296551	0.587424
2.590817	1.352817	0.603415
2.582515	1.270247	0.415558
2.579520	1.294866	0.559776
2.450742	1.202019	0.617690
2.542710	1.338048	0.540141
2.547065	1.361172	0.498646
2.551178	1.260023	0.504112
2.519895	1.315275	0.500162
2.636357	1.235468	0.521440
2.508266	1.415063	0.549603
2.617684	1.199127	0.554314
2.606046	1.320746	0.613638
2.499534	1.424334	0.705605
2.510103	1.289305	0.641671
2.654748	1.287616	0.500651
2.514089	1.230135	0.462782
2.458834	1.277549	0.528614
2.550612	1.455613	0.455892
2.605749	1.327493	0.526631
2.581395	1.263582	0.558612
2.542105	1.388989	0.551228
2.712586	1.308520	0.489343
2.480498	1.319010	0.481010
2.615185	1.471554	0.485673
2.462336	1.404743	0.486746
2.570966	1.389002	0.414184
2.638271	1.512894	0.481626
2.491823	1.404088	0.552409
2.568963	1.537883	0.513812
2.458350	1.288162	0.472041
2.514368	1.530721	0.487835
2.532247	1.399439	0.615600
2.703572	1.365421	0.489596
2.590933	1.460967	0.664659
2.554965	1.387491	0.570325
2.592851	1.480609	0.563961
2.588208	1.511429	0.629486
2.555349	1.415879	0.536754
2.595652	1.371846	0.553347
2.474112	1.439999	0.621545
2.516373	1.446074	0.423655
2.556418	1.495773	0.687890
2.475754	1.468590	0.544370
2.615516	1.449821	0.546633
2.541148	1.475799	0.492282
2.508443	1.547183	0.448852
2.502169	1.419029	0.615565
2.376248	1.434518	0.554342
2.606172	1.476426	0.484545
2.628097	1.377696	0.361426
2.518244	1.453603	0.449915
2.536583	1.514523	0.484391
2.385628	1.566673	0.575670
2.472388	1.644756	0.446875
2.363568	1.459405	0.523958
2.494370	1.498264	0.554046
2.380373	1.629718	0.521763
2.556136	1.552237	0.562483
2.513152	1.565226	0.576751
2.568169	1.551522	0.582061
2.459796	1.649944	0.478514
2.599622	1.544094	0.422311
2.472167	1.501216	0.593062
2.411601	1.524037	0.388712
2.424596	1.380934	0.412067
2.513502	1.626901	0.563219
2.381882	1.569646	0.531509
2.365445	1.691255	0.598069
2.433648	1.585808	0.548402
2.294972	1.570562	0.482149
2.370843	1.573342	0.668667
2.491873	1.556927	0.577346
2.546590	1.674469	0.539454
2.390928	1.662860	0.565092
2.504381	1.663519	0.614914
2.394875	1.720088	0.551652
2.588420	1.575012	0.667683
2.445361	1.583278	0.501866
2.404216	1.669393	0.578060
2.382922	1.641216	0.700225
2.553206	1.681242	0.543132
2.430316	1.700021	0.464317
2.399668	1.534366	0.571731
2.465151	1.628788	0.660619
2.322303	1.560728	0.560202
